"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points"
"1","2023-9900","United Cup","Hard",18,"I",20230102,298,202468,NA,"","Jessica Pegula","R",170,"USA",28.8,203354,NA,"","Martina Trevisan","L",160,"ITA",29.1,"6-4 6-2",3,"F",89,2,2,48,24,17,12,9,0,3,0,0,69,43,20,12,9,3,9,3,4691,27,1528
"2","2023-9900","United Cup","Hard",18,"I",20230102,297,201619,NA,"","Madison Keys","R",178,"USA",27.8,214459,NA,"","Lucia Bronzetti","R",NA,"ITA",24,"6-3 6-2",3,"F",73,6,2,60,38,25,9,9,5,8,0,2,49,32,14,6,8,5,11,11,2417,54,951
"3","2023-9900","United Cup","Hard",18,"I",20230102,294,202468,NA,"","Jessica Pegula","R",170,"USA",28.8,216347,NA,"","Iga Swiatek","R",176,"POL",21.5,"6-2 6-2",3,"SF",71,2,1,53,29,24,11,8,1,2,1,2,41,26,10,5,8,2,7,3,4691,1,11085
"4","2023-9900","United Cup","Hard",18,"I",20230102,293,201619,NA,"","Madison Keys","R",178,"USA",27.8,202663,NA,"","Magda Linette","R",171,"POL",30.8,"6-4 6-2",3,"SF",86,2,1,57,38,26,11,9,0,1,0,2,65,47,29,5,9,4,8,11,2417,48,1030
"5","2023-9900","United Cup","Hard",18,"I",20230102,290,203354,NA,"","Martina Trevisan","L",160,"ITA",29.1,206289,NA,"","Maria Sakkari","R",172,"GRE",27.4,"6-3 6-7(4) 7-5",3,"SF",194,1,2,110,75,50,15,16,5,9,5,7,106,53,37,22,17,2,9,27,1528,6,3871
"6","2023-9900","United Cup","Hard",18,"I",20230102,289,214459,NA,"","Lucia Bronzetti","R",NA,"ITA",24,204394,NA,"","Valentini Grammatikopoulou","U",NA,"GRE",25.8,"6-2 6-3",3,"SF",78,0,2,51,31,26,10,8,3,3,3,0,54,34,19,10,9,1,5,54,951,199,333
"7","2023-9900","United Cup","Hard",18,"I",20230102,286,206289,NA,"","Maria Sakkari","R",172,"GRE",27.4,201549,NA,"","Petra Martic","R",181,"CRO",31.9,"6-3 6-3",3,"RR",99,3,0,49,33,24,10,9,2,3,8,5,86,48,27,17,9,9,13,6,3871,38,1203
"8","2023-9900","United Cup","Hard",18,"I",20230102,285,202499,NA,"","Donna Vekic","R",179,"CRO",26.5,202604,NA,"","Despina Papamichail","R",178,"GRE",29.8,"6-2 6-0",3,"RR",64,1,4,41,27,22,7,7,0,0,0,2,49,33,17,4,7,5,10,67,827,158,409
"9","2023-9900","United Cup","Hard",18,"I",20230102,282,216347,NA,"","Iga Swiatek","R",176,"POL",21.5,203354,NA,"","Martina Trevisan","L",160,"ITA",29.1,"6-2 6-4",3,"RR",111,1,1,59,44,31,9,9,3,4,0,4,77,50,29,11,9,7,11,1,11085,27,1528
"10","2023-9900","United Cup","Hard",18,"I",20230102,281,202663,NA,"","Magda Linette","R",171,"POL",30.8,214459,NA,"","Lucia Bronzetti","R",NA,"ITA",24,"6-1 6-2",3,"RR",73,2,1,48,28,23,11,8,0,0,2,3,47,25,16,7,7,7,11,48,1030,54,951
"11","2023-9900","United Cup","Hard",18,"I",20230102,278,202468,NA,"","Jessica Pegula","R",170,"USA",28.8,211279,NA,"","Harriet Dart","R",175,"GBR",26.4,"6-2 6-0",3,"RR",57,1,2,37,22,18,11,7,0,0,0,2,45,26,14,4,7,3,8,3,4691,98,635
"12","2023-9900","United Cup","Hard",18,"I",20230102,277,201619,NA,"","Madison Keys","R",178,"USA",27.8,215042,NA,"","Katie Swan","R",170,"GBR",23.7,"2-6 6-3 6-4",3,"RR",138,3,3,96,70,45,10,14,8,12,1,7,84,51,33,16,13,6,10,11,2417,145,435
"13","2023-9900","United Cup","Hard",18,"I",20230102,274,206289,NA,"","Maria Sakkari","R",172,"GRE",27.4,210722,NA,"","Elise Mertens","R",179,"BEL",27.1,"6-1 7-5",3,"RR",83,5,0,50,28,22,10,10,0,3,0,4,57,39,19,6,9,5,11,6,3871,29,1475
"14","2023-9900","United Cup","Hard",18,"I",20230102,273,202421,NA,"","Alison Van Uytvanck","R",173,"BEL",28.7,202604,NA,"","Despina Papamichail","R",178,"GRE",29.8,"7-5 2-6 6-3",3,"RR",150,3,5,100,62,39,14,15,6,12,0,2,96,63,37,16,14,7,13,72,794,158,409
"15","2023-9900","United Cup","Hard",18,"I",20230102,270,206289,NA,"","Maria Sakkari","R",172,"GRE",27.4,202600,NA,"","Viktoriya Tomova","R",170,"BUL",27.8,"6-3 6-2",3,"RR",87,3,5,55,32,27,10,9,1,2,1,3,56,33,20,6,8,4,8,6,3871,90,682
"16","2023-9900","United Cup","Hard",18,"I",20230102,269,202604,NA,"","Despina Papamichail","R",178,"GRE",29.8,202688,NA,"","Isabella Shinikova","R",184,"BUL",31.1,"3-6 6-4 6-1",3,"RR",139,2,3,91,61,38,14,13,1,6,1,4,89,50,28,15,13,5,12,158,409,379,131
